,original1,original2,processed_once,
0,0,0,23.5,73.5
1,23,2.189938703,24.75,74.75
2,34,2.414736403,32.875,82.875
3,41,2.530439534,41,85
4,52,2.685349614,45,88
5,73,2.923012786,46,88
6,53,2.698167876,43,93
7,66,2.850269883,46,96
8,59,2.771488002,50,98
9,56,2.7355648,56,100
10,76,2.952591724,58,100
11,48,2.632148026,48,98
12,34,2.414736403,45,95
13,42,2.545729895,42,92
14,27,2.279507057,40,90
15,32,2.37841423,35,85
16,24,2.213363839,35,83
17,29,2.320595787,35,85
18,32,2.37841423,35,87
19,30,2.340347319,35,89
20,27,2.279507057,36,91
21,36,2.449489743,36,95
22,38,2.482823796,47,97
23,80,2.990697562,58,104
24,36,2.449489743,58,108
25,60,2.783157684,60,110
26,52,2.685349614,61,111
27,76,2.952591724,62,112
28,51,2.672345118,63,113
29,78,2.971827866,65,115
30,310,4.196047767,66,116
31,99,3.154342146,64,114
32,49,2.645751311,60,110
33,46,2.604290687,50,100
34,42,2.545729895,42,92
35,48,2.632148026,48,98
36,57,2.747696205,57,102
37,60,2.783157684,60,105
38,50,2.659147948,50,100
39,114,3.267579877,55,105
40,60,2.783157684,60,110
41,62,2.806066263,62,112
42,52,2.685349614,52,102
43,71,2.902783108,71,110
44,81,3,75,115
45,73,2.923012786,73,115
46,55,2.723269815,55,115
47,59,2.771488002,59,109
48,57,2.747696205,57,107
49,66,2.850269883,66,116
50,54,2.710806011,54,104
51,65,2.839411514,65,115
52,70,2.892507609,70,115
53,63,2.817313247,63,113
54,61,2.794682393,61,111
55,55,2.723269815,55,105
56,138,3.427439296,70,120
57,85,3.036370277,75,125
58,70,2.892507609,70,120
59,120,3.30975092,80,122
60,117,3.288868168,80,124
61,110,3.23853184,85,126
62,115,3.274722171,86,128
63,300,4.16179145,87,129
64,122,3.323456186,88,127
65,216,3.833658625,87,126
66,246,3.960351896,86,124
67,110,3.23853184,80,119
68,47,2.618330499,47,97
69,53,2.698167876,53,103
70,58,2.759669021,58,108
71,49,2.645751311,49,99
72,45,2.590020064,45,95
73,31,2.359611062,41.5,91.5
74,38,2.482823796,43.75,93.75
75,46,2.604290687,46,96
76,29,2.320595787,38.5,88.5
77,31,2.359611062,26.75,76.75
78,15,1.967989671,23.375,73.375
79,20,2.114742527,21.1875,71.1875
80,19,2.08779763,22.09375,72.09375
81,23,2.189938703,23.046875,73.046875
82,24,2.213363839,22,72
83,8,1.681792831,21,71
84,8,1.681792831,20,70
